Line	Singular	Plural	Count
9	polyˈzeːm	ˈpoːlyzəmə	1
10	liˈnoːlʃnɪt	ˈliːnɔlstsnɪtə	1
11	ʁʏkˌmɛldʊŋ	ɾʏkmɛldʊŋən	1
12	ˌʁaɪzə	ɾaezən	1
13	ʊnˌtiːfə	ʔʊnˌtiːfən	1
14	ˈɡeːɡnˌɡɪft	gəgəˈŋɪftə	1
15	kolʊmˈnɪstɪ	ˈkoːlʊmnɪstɪnnə	1
16	faːbə	ɾfaɾbən	1
17	eˈmiː	əmiːən	1
18	ˈɪn.fan.təˌʁiː	ʔɪnˈfɑntɐiːən	1
19	ʁaˈdiːɐˌɡʊmi	ˈɾɑːdiːɾgʊmmis	1
20	ʃpats	ˈʃpɛtsə	1
21	kɔntsɛɾtzɑal	ˈkɔntsɛɾtzɛlə	1
22	ˈaɪɡəntuːm	əɪgəntuːmə	1
23	əʀɪ	eɾɪnnə	1
24	ʊm	n	1
25	ˌhʊʁiˈkaːn	hʊɾɾiˈkanə	1
26	ʀɛnˈoːf	rɛnnøfə	1
27	neˈbɛntoːn	ˈneːbɛntønə	1
28	sloˈvaːkɪʃ	ˈsloːvɑkɪʃə	1
29	ananasˌzaft	ʔanˈʔanˌʔaszɛftə	1
30	veːɐ	ˈveɾə	1
31	fluːχ	ˈflʏçə	1
32	axə	ɑçɘn	85
33	ɔkˈtoːbɐˌfɛst	ˈʔɔktobɛɾfɛstə	1
34	ʃlappstsˈvants	ˈʃlappstsvɛntsə	1
35	ʃvɛntsɛlˈtants	ˈʃvɛntsɛltɛntsə	1
36	ˌksyloˈfoːn	ksyloˈfoːnə	1
37	ɪltɪs	ʔɪltɪszə	1
38	ˌtsi(ː).gaˈʁɛ.tə	ˈtsɪgaɽkɛtən	2
39	o	i	7
40	əmiːtɪ	ˈʔeːmitɪnnə	1
41	ˈyːbəlkaɪt	ʔybɛlˈkəiːtən	1
42	ɪçnʊŋ	eçnʊŋən	1
43	byˈfkɛt	ˈbyːfɛtts	1
44	pfuːl	ˈpfulə	1
45	ˈakuzatiːf	ʔakuzɑˈtiːfə	1
46	pɔɾ	ʔeːkseku	1
47	t	de	3
48	at	ɛtɐ	47
49		də	3
50	ˌɡynekoˈloːɡɪ	ˈgyːnɛkologɪnnə	1
51	sloˈvaːkə	ˈsloːvɑkən	1
52	aːndʊŋ	ʔɑndʊŋən	1
53	akst	ˈʔɛkste	1
54	aʊsʃtɛlʊŋ	ʔaosˌʃtɛllʊŋən	1
55	vaesbaɾt	ʔɑːmaezɛnvʏɾgɐ	1
56	neɾɑlatmiˈɾal	ˈneːɾɑlatmiɾɛlə	1
57	ʃtaɪn	ˈʃtəɪnə	1
58	haʊs	ˈhɔʏzɐ	1
59	aːs	ˈʔɛːzeɾ	1
60	ʀɔɪtsfaːɐt	ɾɔøtsfɑɾtən	2
61	ˈmoːp	mɔps	1
62	ˈhɔltsʃaɪt	hɔltszxəiːtə	1
63	ɐˈmɛsənhaɪt	ːɐmɛszɛnˈəiːtən	1
